Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,99,372,199,159,NA,NA,0.054196501,298,60,0.058035714,358,1.2,4.4,183,260,295.7,23
1990,NA,NA,189,NA,2,1,0.066485753,317,NA,NA,NA,0.8,2.2,173,NA,NA,NA
1991,37,522,224,142,11,2,0.185840708,261,109,0.029642989,370,0.7,1.2,208,259,269.6,15
1992,NA,NA,187,NA,NA,NA,0.070815451,322,NA,NA,NA,9.6,13,171,NA,NA,NA
1993,169.2,589,179,127,30,4,NA,NA,NA,NA,306,0.4,0.68,163,457,593.8,75
1994,NA,NA,162,NA,NA,NA,0.02771855,298,NA,NA,NA,33,235.5,146,NA,NA,NA
1995,174.4,725,216,115,55,1,0.056910569,275,56,0.029584657,331,0.9,166.1,200,406,484.6,50
1996,141,470,82,281,16,2,0.015481346,269,94,0.020463625,363,63.5,69,66,285,347.6,18
1997,195.2,475,70,239,51,4,0.05613329,267,42,0.032786885,309,55,164,54,353,524,72
1998,273,453,129,237,24,2,0.015272576,271,98,0.051522593,369,140,230,113,211,239,15
1999,98.7,621.5,191,122,32,4,0.076759062,249,64,0.034324943,313,224,310,175,410,467.4,68
2000,NA,NA,220,NA,NA,NA,0.051660517,317,NA,NA,NA,92,192.5,204,NA,NA,NA
2001,57,318.5,211,142,NA,NA,0.074869305,335,18,0.054263566,353,0.9,1.76,195,259,302.4,28
2002,40.28,261,210,139,NA,NA,0.070396367,308,41,0.057020435,349,1.1,1.2,194,121,217,32
2003,NA,NA,221,NA,NA,NA,0.077994429,315,NA,NA,NA,1.1,1.2,205,NA,NA,NA
2004,69.26,272,212,122,NA,NA,0.055819477,323,11,0.092812423,334,1,1.2,196,290,323,47
2005,NA,NA,177,NA,23,2,0.132427844,271,NA,NA,NA,1,1.7,161,NA,NA,NA
2006,NA,NA,141,NA,36,4,0.032258065,257,NA,NA,NA,1,89.76,125,NA,NA,NA
2007,NA,NA,204,NA,NA,NA,0.05639514,285,NA,NA,NA,2.45,135,188,NA,NA,NA
2008,92.85,543,206,142,9,1,0.096,274,74,0.006241153,348,1,1.51,190,365,435,33
2009,NA,NA,191,NA,30,4,0.096947935,268,NA,NA,NA,1,3.6,175,NA,NA,NA
2010,207.2,513,207,135,18,3,0.109243697,258,84,0.023645504,342,1.4,12.6,191,342,352,39
2011,322,915,112,211,117,3,0.064665127,277,46,0.010810811,323,1,1.2,96,507,576.6,58
2012,NA,NA,201,NA,NA,NA,0.040267976,278,NA,NA,NA,95.8,293,185,NA,NA,NA
2013,NA,NA,197,NA,NA,NA,0.069284065,301,NA,NA,NA,0.4,0.8,181,NA,NA,NA
2014,NA,NA,217,NA,NA,NA,0.055979644,290,NA,NA,NA,1.8,2.6,201,NA,NA,NA
2015,NA,NA,238,NA,NA,NA,0.246753247,279,NA,NA,NA,0.8,42,222,NA,NA,NA
2016,69,442,218,148,NA,NA,0.044738583,327,48,0.053054228,375,0.9,1,202,127,206.6,15
2017,161.6,432,133,233,26,2,0.106060606,255,118,0.029106029,373,0.7,0.8,117,149,164.6,15
2018,NA,NA,202,NA,NA,NA,0.056603774,285,NA,NA,NA,1,22.4,186,NA,NA,NA
2019,NA,NA,191,NA,10,2,0.064605939,268,NA,NA,NA,0.8,1.64,175,NA,NA,NA
2020,NA,NA,207,NA,NA,NA,0.030962692,314,NA,NA,NA,1,229,191,NA,NA,NA
2021,1,204,184,182,NA,NA,0.109090909,276,96,0.064977172,372,0.6,1,168,0.5,0.5,15
2022,NA,NA,215,NA,NA,NA,0.058380414,347,NA,NA,NA,0.5,0.7,199,NA,NA,NA
2023,154.2,433,142,224,28,2,0.048701299,211,161,0.073308271,372,0.9,73,126,173,372.4,15
2024,211,421.5,154,204,25,1,0.014925373,253,105,0.017889088,358,NA,NA,NA,NA,NA,NA
