Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1972,102,280,28,271,8,1,0.019011407,252,47,0.108467023,299,271,278.8,12,18,127.9,82
1973,126.1,300,81,202,10,1,0.025985475,241,42,0.129040862,283,230,237,65,34,209.8,98
1974,151,282,2,289,NA,NA,0.019607843,264,27,0.28125,291,NA,NA,0,8,51.2,90
1975,124.9,321,37,270,20,2,0.015625,265,42,0.129608586,307,124,144,21,33,86.2,74
1976,66.6,312,1,274,NA,NA,0.025974026,204,71,0.127686203,275,NA,NA,0,10,48.5,106
1977,NA,NA,NA,NA,NA,NA,NA,56,163,0.016194597,219,NA,NA,NA,4,13,162
1978,35,143,2,290,5,1,0.043303571,257,35,0.138322247,292,NA,NA,0,49.5,162,89
1979,152.1,274,12,228,NA,NA,0.023649728,203,37,0.078113208,240,NA,NA,0,23,64.2,141
1980,131,278,141,155,31,1,0.031430439,220,76,0.083333333,296,104,220,125,25,111,85
1981,NA,NA,NA,NA,NA,NA,NA,249,28,0.218936877,277,NA,NA,NA,16,116,104
1982,136.2,344,110,189,18,2,0.028818444,245,54,0.097682871,299,111,212.4,94,50,285,82
1983,111.9,681,189,102,32,1,0.048076923,256,35,0.125256674,291,447,587,173,179,469,90
1984,241,562,54,237,44,2,0.028653295,250,41,0.109419606,291,429.5,607.2,38,90,417.9,90
1985,60.9,369,182,98,16,2,0.063636364,227,53,0.088383838,280,417,461.5,166,57,147.2,101
1986,310.4,1130,119,165,111,3,0.117011494,190,94,0.040653094,284,203,237.6,103,190.5,397.5,97
1987,45.5,186,12,266,NA,NA,0.034722222,236,42,0.146341463,278,NA,NA,0,40,84.9,103
1988,16,42,188,89,3,1,0.191780822,243,34,0.230769231,277,77,104,172,13,27.7,104
1989,29.4,53,138,95,NA,NA,0.145833333,194,39,0.142857143,233,29,55,122,20,39.4,148
1990,13.2,39,228,53,4,2,0.222222222,259,22,0.286363636,281,60,94.8,212,13,36,100
1991,28,79.5,185,94,7,1,0.061315789,251,28,0.227272727,279,60,118.2,169,29,131,102
1992,9.3,59,14,274,NA,NA,0.046130952,179,109,0.270772239,288,NA,NA,0,10,23.8,93
1993,54.8,429,181,113,31,4,0.080536913,265,29,0.144499179,294,48,94.8,165,74.5,204.5,87
1994,NA,NA,NA,NA,NA,NA,NA,20,262,0.06557377,282,NA,NA,NA,22.5,86.1,99
1995,60,148.5,142,176,6,3,0.051470588,268,50,0.103448276,318,74.5,93.5,126,86,170.7,63
1996,NA,NA,NA,NA,NA,NA,NA,240,46,0.096610169,286,NA,NA,NA,32,78.8,95
1997,107.4,414,66,235,20,2,0.033809098,241,60,0.098330037,301,140,191.2,50,112,268.4,80
1998,127,375,88,206,9,1,0.038216561,266,28,0.107638889,294,112,241,72,116,306,87
1999,59,303.5,171,108,17,1,0.046594982,249,30,0.064664502,279,314,396.4,155,74,134,102
2000,39.5,196.5,100,176,NA,NA,0.05697446,231,45,0.175191816,276,92,98,84,24,55.2,105
2001,10,57,170,104,NA,NA,0.115384615,223,51,0.106411638,274,84.5,123.7,154,18,37,107
2002,46.9,118,14,270,NA,NA,0.036288998,226,58,0.121212121,284,NA,NA,0,14.5,62,97
2003,59.2,120,16,272,NA,NA,0.017318938,193,95,0.101948052,288,NA,NA,0,17,36.8,93
2004,NA,NA,NA,NA,NA,NA,NA,245,34,0.165048544,279,NA,NA,NA,16,28,102
2005,63.5,477.5,202,106,40,2,0.078651685,245,63,0.097752272,308,92,116,186,117,424.6,73
2006,NA,NA,NA,NA,NA,NA,NA,242,61,0.090112251,303,NA,NA,NA,26,94.8,78
2007,NA,NA,NA,NA,NA,NA,NA,227,52,0.102564103,279,NA,NA,NA,45,55,102
2008,48,171,109,185,NA,NA,0.037303058,272,22,0.125,294,65,75,93,36,56.8,87
2009,120.5,301.5,172,136,21,4,0.088377724,268,40,0.034534058,308,60,101,156,89.5,104,73
2010,68.2,148,3,283,NA,NA,0.035211268,232,54,0.142857143,286,NA,NA,0,55.5,67.4,95
2011,197,477,90,266,83,3,0.025751547,282,74,0.050445104,356,124,184.2,74,119,303.7,25
2012,NA,NA,NA,NA,NA,NA,NA,232,31,0.09422043,263,NA,NA,NA,30,60.3,118
2013,14.5,65.5,179,126,NA,NA,0.124070751,232,73,0.099009901,305,67,100.6,163,29,57.6,76
2014,17.7,68,191,98,NA,NA,0.118705036,231,58,0.125,289,58,99.6,175,20,40,92
2015,35,58.5,22,244,NA,NA,0.076144578,230,36,0.101282051,266,65.5,70.5,6,47,64.4,115
2016,41,64,123,146,NA,NA,0.097274436,231,38,0.065942029,269,47,87.4,107,42,52,112
2017,124.4,410,122,179,35,4,0.041666667,260,41,0.076923077,301,96.5,132,106,48,90.2,80
2018,66,127,6,261,NA,NA,0.048780488,237,30,0.083026283,267,NA,NA,0,50,66,114
2019,56.2,436.5,196,102,25,2,0.069528348,268,30,0.102407305,298,78.5,117.1,180,172,185,83
2020,NA,NA,NA,NA,NA,NA,NA,254,57,0.063492063,311,NA,NA,NA,47,57.1,70
2021,47,69,193,74,NA,NA,0.165964469,231,36,0.068027211,267,48,69.8,177,47,67,114
2022,NA,NA,NA,NA,NA,NA,NA,228,43,0.051851852,271,NA,NA,NA,41,54,110
2023,136,454,171,138,40,2,0.060594745,266,43,0.063200536,309,57,92.8,155,123,130,72
2024,195.6,423,141,155,13,1,0.04007759,255,41,0.104413638,296,NA,NA,NA,NA,NA,NA
