Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1991,109,182,206,128,NA,NA,0.039855072,256,78,0.033803085,334,76,92.1,190,93,97,47
1992,72,105.5,138,176,NA,NA,0.026444548,225,89,0.021052632,314,88,101,122,63,78,67
1993,174.8,308,195,171,30,4,0.065686275,262,110,0.020454545,372,69,144,179,127,132.8,15
1994,92,153.5,176,160,NA,NA,0.066059226,243,93,0.020137856,336,107,124,160,80.5,91.4,45
1995,171.7,298,180,168,25,2,0.098445596,262,86,0.023988006,348,88,153.3,164,148.5,152.9,33
1996,156,338,178,161,26,2,0.080008255,257,82,0.024351676,339,127.5,147.9,162,133,139.9,42
1997,215.3,511,191,144,47,1,0.077292646,247,88,0.029075092,335,137,212.2,175,186,196,46
1998,206,416,178,173,18,3,0.045748163,262,89,0.019417476,351,141,169,162,183,193.2,30
1999,181.2,386,187,173,38,1,0.0625,263,97,0.021651236,360,145,179,171,154,157.3,21
2000,123.1,200,171,152,NA,NA,0.057971014,243,80,0.019417679,323,135,163,155,102,108,58
2001,109,162.5,169,128,NA,NA,0.055092768,233,64,0.022727273,297,102,116,153,92,104,84
2002,99.56,160,169,157,NA,NA,0.057148041,248,78,0.018720794,326,82.8,89.08,153,93.9,99.42,55
2003,118,220,180,120,NA,NA,0.073873874,246,54,0.030423077,300,92.25,104,164,86.65,110,81
2004,94.5,178,157,171,NA,NA,0.055555556,257,71,0.021507863,328,77.6,85.8,141,81.7,90.98,53
2005,173.8,415,180,155,28,3,0.066115702,265,70,0.024,335,83.1,111,164,143,161.2,46
2006,179,463,176,151,35,1,0.060606061,256,71,0.026642984,327,117,130,160,155,167,54
2007,113,189,152,174,NA,NA,0.057522124,229,97,0.018102883,326,141,163,136,98.75,104,55
2008,115,206,190,171,NA,NA,0.101828824,266,95,0.022292994,361,92.65,98.67,174,102.5,117.4,20
2009,149.8,334,184,155,20,1,0.060779817,249,90,0.025678933,339,103.5,122.3,168,136,153,42
2010,108.8,225,187,135,1,1,0.087794509,258,64,0.028389557,322,103,139,171,91.75,97.73,59
2011,264.7,655,188,160,65,3,0.070966195,272,76,0.026490066,348,111,141.9,172,243,251.9,33
2012,83.09,183.5,158,184,NA,NA,0.042682927,252,90,0.022346369,342,178.5,232,142,73.6,118,39
2013,77.8,140,174,140,NA,NA,0.049679612,238,76,0.028285345,314,102,115.3,158,67.2,72,67
2014,112,259,183,131,NA,NA,0.07486631,245,69,0.039033592,314,78.4,93.5,167,99.5,115,67
2015,88.78,167,182,150,NA,NA,0.054982818,250,82,0.029761905,332,99.8,119,166,81.9,91.63,49
2016,108,269,178,146,NA,NA,0.084158416,253,71,0.044247788,324,87.55,102,162,98,108.4,57
2017,222,527,135,197,49,3,0.076576577,253,79,0.032727273,332,123,146.2,119,205.5,213.3,49
2018,119.4,221,167,145,NA,NA,0.058826754,241,71,0.034493012,312,145,193,151,95.3,104,69
2019,121.3,303.5,175,154,3,1,0.0656,261,68,0.028037383,329,98.9,119,159,121,133,52
2020,117.7,256.5,181,138,NA,NA,0.088389054,248,71,0.032432432,319,115,141,165,95.3,102,62
2021,71.78,112,176,114,NA,NA,0.045454545,252,38,0.029717682,290,87,108,160,56.95,66.16,91
2022,72.2,126,167,163,NA,NA,0.045935484,259,71,0.030742633,330,73.8,81,151,64.3,73.54,51
2023,183.2,500,197,133,41,1,0.070498971,246,84,0.030706244,330,75.8,92,181,156,167.1,51
2024,162,352,181,161,21,2,0.069565217,255,87,0.027932961,342,121,165,165,130,136.6,39
