Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2010,155,314,205,92,7,1,0.112357538,255,42,0.057017544,297,50,61.64,189,126,152.6,84
2011,190.4,770,208,113,25,2,0.080031839,276,45,0.059135797,321,60.5,119.9,192,129,179.6,60
2012,61.52,134,160,185,NA,NA,0.081967213,249,96,0.028985507,345,68.8,88.55,144,43.9,46.75,36
2013,77.64,139,200,139,NA,NA,0.101543019,254,85,0.034605805,339,47,60.32,184,69.9,78.3,42
2014,122.5,271.5,184,106,2,1,0.134039645,245,45,0.049962116,290,50.85,60.85,168,129,174.2,91
2015,121,168.5,160,136,NA,NA,0.050901436,249,47,0.050359712,296,71.2,83.21,144,96.45,133.7,85
2016,132,250,182,112,NA,NA,0.096296296,253,41,0.063493841,294,58,67.4,166,82.2,127,87
2017,169,401,175,124,12,1,0.098130841,253,46,0.060994332,299,70.6,99.96,159,104,134,82
2018,97.72,180,192,107,NA,NA,0.111111111,241,58,0.046296296,299,53.45,67.85,176,63.5,85.5,82
2019,111.4,452,182,125,6,2,0.100446429,261,46,0.06918239,307,46.9,52.6,166,102,130,74
2020,114.8,415,197,89,NA,NA,0.136313397,247,39,0.043824701,286,60.4,69.1,181,104,133,95
2021,72.08,141,191,89,NA,NA,0.090570589,249,31,0.051282051,280,43.2,50.2,175,72.7,115.6,101
2022,133.3,283,191,102,NA,NA,0.065185378,253,40,0.057692308,293,63.5,123.6,175,89.5,132,88
2023,143.8,556,186,119,9,3,0.083800187,254,51,0.054054054,305,53,60.62,170,142,171.2,76
2024,126,429,184,119,5,1,0.117061021,253,50,0.056962025,303,NA,NA,NA,NA,NA,NA
